Lead ID,Location,College,Year of Study,Program Interest,Lead Source
LD421,Bangalore,IIT Bombay,4th,Electric Vehicle,LinkedIn
LD422,Nagpur,IIT Delhi,3rd,Machine Learning,LinkedIn
LD423,Coimbatore,University of Delhi,2nd,Robotics,LinkedIn
LD424,Visakhapatnam,IIT Bombay,2nd,AI,Mass-Mailing
LD425,Coimbatore,SP College,3rd,Data Science,Google Form
LD426,Trivandrum,University of Delhi,4th,Robotics,Referral
LD427,Coimbatore,MIT Pune,2nd,Data Science,Email
LD428,Surat,NIT Trichy,4th,Data Science,Referral
LD429,Lucknow,VIT Vellore,2nd,Cloud Computing,Google Form
LD430,Trivandrum,NIT Warangal,4th,Robotics,Instagram
LD431,Hyderabad,IIT Bombay,1st,Data Science,Facebook
LD432,Mumbai,ABC Institute,2nd,Robotics,Email
LD433,Visakhapatnam,ABC Institute,2nd,Electric Vehicle,WhatsApp
LD434,Mumbai,Amity University,3rd,Machine Learning,College Collaboration
LD435,Visakhapatnam,SRM University,1st,Cloud Computing,Email
LD436,Nagpur,IIT Delhi,3rd,Machine Learning,Google Form
LD437,Coimbatore,Shiv Nadar University,2nd,Robotics,Instagram
LD438,Hyderabad,IISc Bangalore,4th,Cyber Security,College Collaboration
LD439,Visakhapatnam,MIT Pune,1st,AI,Mass-Mailing
LD440,Chandigarh,BITS Pilani,3rd,Cloud Computing,College Collaboration
LD441,Bhopal,Shiv Nadar University,4th,Data Science,Referral
LD442,Delhi,SRM University,4th,Electric Vehicle,WhatsApp
LD443,Mumbai,VIT Vellore,1st,AI,Mass-Mailing
LD444,Jaipur,MIT Pune,4th,Cloud Computing,LinkedIn
LD445,Bangalore,University of Delhi,3rd,Data Science,WhatsApp
LD446,Chennai,ABC Institute,4th,Machine Learning,Email
LD447,Patna,Amity University,1st,Cloud Computing,Google Form
LD448,Lucknow,Manipal University,2nd,Robotics,Google Form
LD449,Vadodara,BITS Pilani,3rd,Electric Vehicle,LinkedIn
LD450,Visakhapatnam,NIT Warangal,3rd,Cyber Security,Instagram
LD451,Nagpur,XYZ University,3rd,Electric Vehicle,LinkedIn
LD452,Trivandrum,IIT Delhi,3rd,AI,Instagram
LD453,Bangalore,SP College,3rd,Robotics,Google Form
LD454,Delhi,ABC Institute,3rd,Cyber Security,LinkedIn
LD455,Jaipur,Shivaji University,1st,Cyber Security,Facebook
LD456,Surat,MIT Pune,1st,Robotics,Instagram
LD457,Nagpur,Jamia Millia Islamia,4th,Electric Vehicle,WhatsApp
LD458,Trivandrum,VIT Vellore,3rd,AI,WhatsApp
LD459,Jaipur,Bharati Vidyapeeth,3rd,Robotics,Facebook
LD460,Indore,NIT Trichy,2nd,Robotics,Email
LD461,Vadodara,IISc Bangalore,1st,Robotics,Mass-Mailing
LD462,Mumbai,Amity University,4th,Electric Vehicle,Instagram
LD463,Surat,NIT Warangal,3rd,Cyber Security,LinkedIn
LD464,Mumbai,VIT Vellore,2nd,AI,Email
LD465,Bangalore,Manipal University,2nd,Robotics,Referral
LD466,Visakhapatnam,IIT Delhi,1st,Machine Learning,WhatsApp
LD467,Trivandrum,MIT Pune,4th,Electric Vehicle,College Collaboration
LD468,Jaipur,University of Delhi,2nd,Robotics,Facebook
LD469,Chandigarh,Amity University,1st,Machine Learning,Referral
LD470,Chennai,Shiv Nadar University,3rd,Electric Vehicle,Mass-Mailing
LD471,Mumbai,ABC Institute,1st,Data Science,Email
LD472,Surat,XYZ University,3rd,AI,Referral
LD473,Patna,Shivaji University,1st,Data Science,WhatsApp
LD474,Lucknow,IIT Delhi,2nd,Machine Learning,Mass-Mailing
LD475,Pune,Jadavpur University,2nd,Cyber Security,LinkedIn
LD476,Chennai,NIT Warangal,3rd,Cyber Security,College Collaboration
LD477,Patna,University of Delhi,3rd,Data Science,Mass-Mailing
LD478,Kolkata,IIT Delhi,2nd,Cyber Security,Google Form
LD479,Chennai,NIT Trichy,2nd,AI,Referral
LD480,Pune,Shiv Nadar University,2nd,Robotics,Mass-Mailing
LD481,Patna,SP College,4th,AI,Instagram
LD482,Trivandrum,Jamia Millia Islamia,4th,Robotics,Google Form
LD483,Bhopal,Shivaji University,4th,Cloud Computing,Instagram
LD484,Surat,MIT Pune,2nd,Data Science,LinkedIn
LD485,Ahmedabad,SRM University,3rd,AI,WhatsApp
LD486,Indore,MIT Pune,1st,AI,College Collaboration
LD487,Hyderabad,Jadavpur University,2nd,Cloud Computing,WhatsApp
LD488,Ahmedabad,NIT Warangal,4th,Robotics,Instagram
LD489,Surat,NIT Trichy,3rd,Robotics,WhatsApp
LD490,Bangalore,ABC Institute,1st,Cyber Security,Email
LD491,Vadodara,Bharati Vidyapeeth,1st,Cloud Computing,College Collaboration
LD492,Patna,BITS Pilani,3rd,Electric Vehicle,Referral
LD493,Hyderabad,VIT Vellore,3rd,Cloud Computing,WhatsApp
LD494,Indore,BITS Pilani,1st,AI,Facebook
LD495,Nagpur,Amity University,1st,Cloud Computing,Referral
LD496,Bhopal,Jamia Millia Islamia,4th,Data Science,WhatsApp
LD497,Bhopal,IISc Bangalore,1st,Cloud Computing,Facebook
LD498,Lucknow,NIT Warangal,3rd,Cloud Computing,LinkedIn
LD499,Bhopal,Amity University,1st,Robotics,Email
LD500,Indore,NIT Trichy,2nd,Cyber Security,Google Form
LD501,Trivandrum,BITS Pilani,2nd,Cyber Security,Facebook
LD502,Nagpur,MIT Pune,1st,AI,Mass-Mailing
LD503,Nagpur,Manipal University,2nd,Cyber Security,Instagram
LD504,Mumbai,Jadavpur University,3rd,AI,LinkedIn
LD505,Pune,Manipal University,3rd,Data Science,Referral
LD506,Lucknow,MIT Pune,3rd,Machine Learning,Instagram
LD507,Bhopal,University of Delhi,2nd,Cyber Security,Email
LD508,Vadodara,MIT Pune,2nd,Cyber Security,Facebook
LD509,Ahmedabad,VIT Vellore,3rd,Electric Vehicle,Referral
LD510,Ahmedabad,Amity University,2nd,Cyber Security,College Collaboration
LD511,Hyderabad,Amity University,3rd,Electric Vehicle,Google Form
LD512,Patna,Bharati Vidyapeeth,4th,Robotics,Mass-Mailing
LD513,Hyderabad,Jamia Millia Islamia,2nd,Electric Vehicle,LinkedIn
LD514,Vadodara,SP College,2nd,Cloud Computing,Mass-Mailing
LD515,Patna,University of Delhi,1st,Robotics,Instagram
LD516,Lucknow,ABC Institute,4th,Electric Vehicle,Mass-Mailing
LD517,Vadodara,IISc Bangalore,3rd,Machine Learning,LinkedIn
LD518,Lucknow,Jadavpur University,1st,Data Science,Referral
LD519,Nagpur,Shivaji University,1st,Machine Learning,College Collaboration
LD520,Indore,BITS Pilani,1st,Machine Learning,Instagram
LD521,Mumbai,Bharati Vidyapeeth,2nd,Electric Vehicle,Mass-Mailing
LD522,Trivandrum,Bharati Vidyapeeth,2nd,Electric Vehicle,Email
LD523,Patna,Manipal University,4th,Data Science,Facebook
LD524,Lucknow,Jamia Millia Islamia,1st,AI,Facebook
LD525,Trivandrum,NIT Trichy,2nd,Cyber Security,WhatsApp
LD526,Ahmedabad,IISc Bangalore,4th,Cloud Computing,Referral
LD527,Indore,IISc Bangalore,2nd,Machine Learning,LinkedIn
LD528,Coimbatore,SP College,3rd,Robotics,College Collaboration
LD529,Bhopal,NIT Trichy,1st,Electric Vehicle,LinkedIn
LD530,Kolkata,Shiv Nadar University,3rd,Cloud Computing,Email
LD531,Patna,SP College,2nd,AI,Mass-Mailing
LD532,Trivandrum,XYZ University,3rd,AI,Mass-Mailing
LD533,Mumbai,SRM University,2nd,Robotics,Instagram
LD534,Patna,MIT Pune,4th,AI,Mass-Mailing
LD535,Bhopal,SRM University,1st,Electric Vehicle,College Collaboration
LD536,Chennai,Jadavpur University,3rd,Cyber Security,Email
LD537,Ahmedabad,IIT Bombay,2nd,AI,Facebook
LD538,Chennai,MIT Pune,1st,AI,Google Form
LD539,Surat,BITS Pilani,1st,Electric Vehicle,Facebook
LD540,Jaipur,SRM University,4th,AI,Facebook
LD541,Chennai,NIT Warangal,1st,Robotics,Email
LD542,Nagpur,NIT Trichy,3rd,Machine Learning,College Collaboration
LD543,Chennai,NIT Warangal,2nd,AI,WhatsApp
LD544,Chandigarh,Jadavpur University,1st,Data Science,Google Form
LD545,Chennai,NIT Trichy,1st,Cloud Computing,WhatsApp
LD546,Jaipur,NIT Trichy,2nd,Machine Learning,Facebook
LD547,Kolkata,Jadavpur University,3rd,AI,Facebook
LD548,Pune,NIT Warangal,3rd,Robotics,College Collaboration
LD549,Indore,NIT Warangal,2nd,Cyber Security,Instagram
LD550,Delhi,Jadavpur University,3rd,Cloud Computing,Google Form
LD551,Hyderabad,IIT Delhi,2nd,AI,Instagram
LD552,Ahmedabad,NIT Warangal,4th,Data Science,College Collaboration
LD553,Bangalore,SRM University,3rd,Cyber Security,Facebook
LD554,Indore,Jamia Millia Islamia,1st,Electric Vehicle,Referral
LD555,Vadodara,NIT Warangal,2nd,Cloud Computing,College Collaboration
LD556,Hyderabad,VIT Vellore,3rd,Cloud Computing,Mass-Mailing
LD557,Chennai,IIT Delhi,2nd,AI,Referral
LD558,Chennai,SP College,4th,Data Science,Mass-Mailing
LD559,Kolkata,SRM University,3rd,AI,LinkedIn
LD560,Bangalore,NIT Trichy,1st,Cloud Computing,Referral
LD561,Ahmedabad,IIT Delhi,3rd,AI,Instagram
LD562,Chandigarh,IIT Bombay,1st,Data Science,Email
LD563,Jaipur,XYZ University,1st,Machine Learning,Instagram
LD564,Vadodara,Shiv Nadar University,2nd,Cloud Computing,WhatsApp
LD565,Ahmedabad,SP College,4th,AI,Facebook
LD566,Bhopal,VIT Vellore,1st,Data Science,Google Form
LD567,Patna,IIT Bombay,3rd,Cloud Computing,Referral
LD568,Bhopal,Jamia Millia Islamia,1st,Cloud Computing,WhatsApp
LD569,Nagpur,IIT Delhi,2nd,Electric Vehicle,Facebook
LD570,Coimbatore,Jadavpur University,3rd,AI,WhatsApp
LD571,Indore,Jadavpur University,1st,Cyber Security,Referral
LD572,Patna,Amity University,2nd,Cloud Computing,Referral
LD573,Surat,IIT Delhi,3rd,Machine Learning,LinkedIn
LD574,Indore,IIT Bombay,1st,Data Science,Instagram
LD575,Hyderabad,Shiv Nadar University,1st,AI,WhatsApp
LD576,Bangalore,IIT Bombay,4th,AI,LinkedIn
LD577,Coimbatore,NIT Warangal,4th,Robotics,College Collaboration
LD578,Ahmedabad,University of Delhi,4th,Cyber Security,Instagram
LD579,Trivandrum,ABC Institute,3rd,Cloud Computing,Mass-Mailing
LD580,Pune,IIT Bombay,1st,Electric Vehicle,Google Form
LD581,Jaipur,Jadavpur University,2nd,Cyber Security,Email
LD582,Chandigarh,SRM University,1st,AI,LinkedIn
LD583,Visakhapatnam,BITS Pilani,1st,Cyber Security,Mass-Mailing
LD584,Mumbai,University of Delhi,3rd,AI,Instagram
LD585,Lucknow,Manipal University,2nd,Data Science,College Collaboration
LD586,Patna,Shivaji University,3rd,Cloud Computing,Referral
LD587,Trivandrum,VIT Vellore,3rd,Machine Learning,Facebook
LD588,Bhopal,MIT Pune,3rd,Cloud Computing,Facebook
LD589,Mumbai,Bharati Vidyapeeth,2nd,Robotics,Instagram
LD590,Nagpur,Shivaji University,3rd,Data Science,College Collaboration
LD591,Kolkata,SRM University,1st,Data Science,LinkedIn
LD592,Indore,University of Delhi,3rd,AI,LinkedIn
LD593,Pune,SRM University,4th,AI,Email
LD594,Ahmedabad,VIT Vellore,1st,Electric Vehicle,Google Form
LD595,Visakhapatnam,Jamia Millia Islamia,4th,Electric Vehicle,College Collaboration
LD596,Kolkata,MIT Pune,2nd,AI,Referral
LD597,Delhi,IIT Bombay,1st,Cyber Security,Instagram
LD598,Patna,SRM University,2nd,Cyber Security,WhatsApp
LD599,Jaipur,XYZ University,4th,Cloud Computing,Google Form
LD600,Jaipur,Jadavpur University,2nd,Robotics,LinkedIn
LD601,Ahmedabad,Shivaji University,1st,Robotics,Google Form
LD602,Pune,Jadavpur University,1st,Cyber Security,LinkedIn
LD603,Chennai,Jadavpur University,3rd,Cyber Security,Instagram
LD604,Hyderabad,MIT Pune,4th,Robotics,Email
LD605,Hyderabad,SRM University,1st,AI,LinkedIn
LD606,Ahmedabad,University of Delhi,2nd,Machine Learning,Email
LD607,Indore,Shivaji University,1st,Robotics,Referral
LD608,Kolkata,IISc Bangalore,2nd,Cloud Computing,Referral
LD609,Surat,IIT Bombay,1st,Data Science,Facebook
LD610,Surat,Bharati Vidyapeeth,4th,Machine Learning,LinkedIn
LD611,Surat,Shiv Nadar University,1st,Machine Learning,Mass-Mailing
LD612,Chennai,NIT Warangal,2nd,Data Science,WhatsApp
LD613,Bangalore,XYZ University,2nd,Electric Vehicle,Facebook
LD614,Ahmedabad,IISc Bangalore,4th,AI,Facebook
LD615,Delhi,Manipal University,2nd,Machine Learning,LinkedIn
LD616,Chennai,MIT Pune,3rd,Robotics,Referral
LD617,Patna,Jamia Millia Islamia,4th,Cyber Security,Google Form
LD618,Nagpur,Shiv Nadar University,3rd,Cyber Security,Google Form
LD619,Surat,IIT Bombay,2nd,Cloud Computing,LinkedIn
LD620,Kolkata,Jadavpur University,1st,Cloud Computing,Mass-Mailing
LD621,Patna,Bharati Vidyapeeth,2nd,Data Science,Referral
LD622,Patna,Amity University,1st,Machine Learning,Mass-Mailing
LD623,Nagpur,Shiv Nadar University,3rd,Electric Vehicle,LinkedIn
LD624,Ahmedabad,VIT Vellore,4th,Cyber Security,Referral
LD625,Ahmedabad,University of Delhi,1st,Cyber Security,College Collaboration
LD626,Mumbai,VIT Vellore,1st,Electric Vehicle,Referral
LD627,Lucknow,Shivaji University,4th,Machine Learning,College Collaboration
LD628,Chennai,University of Delhi,4th,AI,College Collaboration
LD629,Visakhapatnam,VIT Vellore,3rd,Robotics,Instagram
LD630,Vadodara,IISc Bangalore,2nd,AI,WhatsApp
LD631,Ahmedabad,University of Delhi,1st,Data Science,LinkedIn
LD632,Mumbai,SRM University,2nd,Electric Vehicle,Referral
LD633,Trivandrum,SRM University,3rd,Electric Vehicle,Instagram
LD634,Bangalore,MIT Pune,2nd,Cloud Computing,Mass-Mailing
LD635,Coimbatore,Jamia Millia Islamia,3rd,Cyber Security,Facebook
LD636,Chandigarh,Amity University,1st,AI,College Collaboration
LD637,Ahmedabad,BITS Pilani,3rd,Electric Vehicle,Facebook
LD638,Bangalore,NIT Trichy,3rd,Electric Vehicle,Referral
LD639,Bhopal,Bharati Vidyapeeth,4th,Cloud Computing,Mass-Mailing
LD640,Delhi,Jadavpur University,1st,Cloud Computing,Google Form
LD641,Visakhapatnam,Jadavpur University,3rd,Robotics,Email
LD642,Kolkata,IIT Bombay,3rd,Data Science,Google Form
LD643,Bhopal,IIT Delhi,2nd,Data Science,Referral
LD644,Chandigarh,Jamia Millia Islamia,1st,Data Science,Email
LD645,Surat,Jadavpur University,4th,Electric Vehicle,Mass-Mailing
LD646,Lucknow,University of Delhi,4th,Cyber Security,Google Form
LD647,Hyderabad,IISc Bangalore,4th,AI,Facebook
LD648,Pune,XYZ University,3rd,Electric Vehicle,Instagram
LD649,Bangalore,SRM University,2nd,AI,Instagram
LD650,Trivandrum,Manipal University,1st,AI,College Collaboration
LD651,Indore,Shivaji University,1st,Machine Learning,Referral
LD652,Nagpur,Shiv Nadar University,1st,AI,Instagram
LD653,Trivandrum,Bharati Vidyapeeth,4th,AI,Google Form
LD654,Trivandrum,Shivaji University,3rd,AI,LinkedIn
LD655,Bangalore,Bharati Vidyapeeth,4th,Data Science,Google Form
LD656,Jaipur,MIT Pune,2nd,Robotics,Mass-Mailing
LD657,Lucknow,VIT Vellore,4th,Electric Vehicle,Email
LD658,Trivandrum,XYZ University,2nd,Cyber Security,Google Form
LD659,Pune,SP College,1st,Electric Vehicle,WhatsApp
LD660,Bangalore,Manipal University,3rd,Data Science,LinkedIn
LD661,Delhi,SP College,2nd,Robotics,Mass-Mailing
LD662,Chennai,Shiv Nadar University,1st,Machine Learning,LinkedIn
LD663,Vadodara,Bharati Vidyapeeth,1st,AI,WhatsApp
LD664,Patna,University of Delhi,2nd,Robotics,WhatsApp
LD665,Indore,Amity University,4th,Robotics,Google Form
LD666,Chennai,SP College,4th,Machine Learning,Facebook
LD667,Mumbai,BITS Pilani,4th,Electric Vehicle,Google Form
LD668,Surat,University of Delhi,4th,Robotics,Email
LD669,Coimbatore,Jadavpur University,1st,Data Science,College Collaboration
LD670,Hyderabad,IISc Bangalore,3rd,Machine Learning,Mass-Mailing
LD671,Hyderabad,NIT Warangal,1st,Robotics,Instagram
LD672,Pune,Manipal University,2nd,Electric Vehicle,Instagram
LD673,Chandigarh,IIT Delhi,3rd,Robotics,Instagram
LD674,Surat,XYZ University,3rd,Machine Learning,LinkedIn
LD675,Coimbatore,IISc Bangalore,4th,Machine Learning,WhatsApp
LD676,Jaipur,SRM University,2nd,Cloud Computing,Google Form
LD677,Kolkata,MIT Pune,3rd,Machine Learning,College Collaboration
LD678,Vadodara,NIT Trichy,2nd,Cloud Computing,Referral
LD679,Visakhapatnam,IIT Delhi,3rd,Electric Vehicle,Referral
LD680,Delhi,XYZ University,3rd,Robotics,Instagram
LD681,Delhi,IISc Bangalore,1st,Machine Learning,LinkedIn
LD682,Nagpur,Amity University,1st,Cyber Security,WhatsApp
LD683,Bangalore,Jamia Millia Islamia,4th,Electric Vehicle,Mass-Mailing
LD684,Ahmedabad,Manipal University,4th,Electric Vehicle,Mass-Mailing
LD685,Chennai,Shivaji University,3rd,Cyber Security,Instagram
LD686,Mumbai,MIT Pune,2nd,AI,Referral
LD687,Pune,BITS Pilani,4th,Machine Learning,Instagram
LD688,Vadodara,VIT Vellore,4th,Electric Vehicle,LinkedIn
LD689,Surat,VIT Vellore,4th,Robotics,WhatsApp
LD690,Ahmedabad,Shivaji University,2nd,Machine Learning,College Collaboration
LD691,Ahmedabad,IIT Delhi,3rd,Cyber Security,LinkedIn
LD692,Ahmedabad,Amity University,2nd,Data Science,WhatsApp
LD693,Chandigarh,XYZ University,3rd,Data Science,Referral
LD694,Coimbatore,NIT Trichy,1st,Robotics,LinkedIn
LD695,Mumbai,IISc Bangalore,3rd,Robotics,Instagram
LD696,Ahmedabad,VIT Vellore,1st,Robotics,Instagram
LD697,Nagpur,ABC Institute,1st,Electric Vehicle,Instagram
LD698,Pune,NIT Trichy,4th,AI,Google Form
LD699,Patna,IIT Bombay,2nd,Electric Vehicle,Mass-Mailing
LD700,Indore,MIT Pune,3rd,Data Science,Google Form
LD701,Bangalore,ABC Institute,4th,AI,Mass-Mailing
LD702,Chennai,SP College,3rd,Cloud Computing,College Collaboration
LD703,Chandigarh,Jadavpur University,3rd,Data Science,WhatsApp
LD704,Coimbatore,Shivaji University,3rd,Electric Vehicle,Email
LD705,Bhopal,IISc Bangalore,3rd,Machine Learning,LinkedIn
LD706,Visakhapatnam,Shivaji University,3rd,Data Science,LinkedIn
LD707,Chandigarh,MIT Pune,1st,Data Science,Instagram
LD708,Vadodara,Shivaji University,4th,Cloud Computing,Referral
LD709,Chennai,IIT Delhi,2nd,Cloud Computing,WhatsApp
LD710,Ahmedabad,IISc Bangalore,3rd,Electric Vehicle,Facebook
LD711,Bangalore,Manipal University,4th,Robotics,Instagram
LD712,Pune,Jadavpur University,1st,Cyber Security,Referral
LD713,Coimbatore,BITS Pilani,2nd,Data Science,Referral
LD714,Lucknow,SP College,4th,Data Science,Facebook
LD715,Chandigarh,ABC Institute,2nd,Data Science,Google Form
LD716,Nagpur,Shivaji University,2nd,Electric Vehicle,WhatsApp
LD717,Coimbatore,ABC Institute,3rd,Data Science,College Collaboration
LD718,Visakhapatnam,Bharati Vidyapeeth,3rd,AI,LinkedIn
LD719,Bangalore,Bharati Vidyapeeth,3rd,AI,Facebook
LD720,Vadodara,SP College,1st,Cloud Computing,Google Form
LD721,Bhopal,Amity University,1st,Cyber Security,Instagram
LD722,Indore,IISc Bangalore,1st,Machine Learning,Mass-Mailing
LD723,Kolkata,Jamia Millia Islamia,1st,AI,Email
LD724,Kolkata,SRM University,4th,Cyber Security,Google Form
LD725,Visakhapatnam,SRM University,3rd,AI,Google Form
LD726,Kolkata,NIT Trichy,3rd,Robotics,Email
LD727,Delhi,Jadavpur University,3rd,Robotics,Mass-Mailing
LD728,Hyderabad,NIT Trichy,4th,AI,Mass-Mailing
LD729,Hyderabad,MIT Pune,1st,Cloud Computing,Instagram
LD730,Hyderabad,IIT Delhi,2nd,Cloud Computing,Mass-Mailing
LD731,Patna,IISc Bangalore,2nd,Cyber Security,WhatsApp
LD732,Bhopal,Amity University,3rd,AI,Referral
LD733,Jaipur,IIT Bombay,3rd,Cloud Computing,Facebook
LD734,Coimbatore,University of Delhi,1st,Data Science,Email
LD735,Pune,MIT Pune,1st,AI,Email
LD736,Hyderabad,ABC Institute,1st,AI,WhatsApp
LD737,Jaipur,Shivaji University,1st,Cloud Computing,WhatsApp
LD738,Ahmedabad,Jamia Millia Islamia,4th,Robotics,Email
LD739,Surat,VIT Vellore,4th,Electric Vehicle,WhatsApp
LD740,Bangalore,Jamia Millia Islamia,2nd,AI,Mass-Mailing
LD741,Nagpur,Shiv Nadar University,2nd,Robotics,College Collaboration
LD742,Lucknow,ABC Institute,1st,Data Science,Facebook
LD743,Bangalore,MIT Pune,3rd,Machine Learning,Email
LD744,Indore,Amity University,3rd,AI,Email
LD745,Indore,University of Delhi,4th,Cyber Security,Mass-Mailing
LD746,Indore,Amity University,3rd,Cyber Security,Mass-Mailing
LD747,Indore,NIT Trichy,4th,Cyber Security,Mass-Mailing
LD748,Patna,IIT Delhi,1st,Cloud Computing,College Collaboration
LD749,Surat,Jamia Millia Islamia,2nd,Robotics,Google Form
LD750,Mumbai,University of Delhi,4th,Cyber Security,Email
LD751,Chandigarh,Shiv Nadar University,3rd,Robotics,Email
LD752,Bhopal,XYZ University,2nd,Robotics,Facebook
LD753,Lucknow,SP College,1st,Electric Vehicle,Instagram
LD754,Coimbatore,Shiv Nadar University,2nd,AI,College Collaboration
LD755,Chennai,Bharati Vidyapeeth,2nd,Robotics,Email
LD756,Nagpur,IISc Bangalore,4th,Electric Vehicle,College Collaboration
LD757,Jaipur,BITS Pilani,2nd,Cloud Computing,Facebook
LD758,Surat,BITS Pilani,2nd,Cyber Security,Email
LD759,Delhi,SRM University,4th,Data Science,Facebook
LD760,Patna,MIT Pune,3rd,Cloud Computing,LinkedIn
LD761,Chennai,IIT Delhi,1st,AI,Email
LD762,Chennai,Amity University,4th,Cyber Security,Facebook
LD763,Indore,ABC Institute,1st,Cloud Computing,Email
LD764,Kolkata,VIT Vellore,3rd,Electric Vehicle,Facebook
LD765,Patna,Manipal University,4th,Robotics,Email
LD766,Kolkata,Manipal University,4th,AI,Referral
LD767,Patna,NIT Trichy,4th,Cloud Computing,Email
LD768,Ahmedabad,SP College,3rd,Cyber Security,Referral
LD769,Kolkata,Bharati Vidyapeeth,4th,Electric Vehicle,WhatsApp
LD770,Nagpur,Amity University,4th,Cyber Security,LinkedIn
LD771,Bangalore,XYZ University,4th,AI,College Collaboration
LD772,Indore,Shiv Nadar University,3rd,Cyber Security,Instagram
LD773,Visakhapatnam,IIT Bombay,3rd,Robotics,Referral
LD774,Indore,Shivaji University,1st,Robotics,Referral
LD775,Kolkata,Shivaji University,3rd,Robotics,Mass-Mailing
LD776,Patna,Shiv Nadar University,3rd,Cloud Computing,LinkedIn
LD777,Trivandrum,IIT Delhi,3rd,Data Science,WhatsApp
